authored_date,committed_date,before_or_after,id_issue
2020-11-27T21:47:01Z,2020-11-27T22:08:35Z,after,732267627
2020-11-27T21:20:42Z,2020-11-27T22:08:35Z,after,732267627
2020-11-27T21:19:01Z,2020-11-27T22:08:35Z,after,732267627
2020-11-27T19:38:08Z,2020-11-27T19:40:39Z,after,732267627
2020-11-27T17:48:58Z,2020-11-27T18:03:40Z,after,732267627
2020-11-27T17:42:59Z,2020-11-27T17:43:12Z,after,732267627
2020-11-27T17:03:21Z,2020-11-27T17:03:21Z,after,732267627
2020-11-27T16:46:37Z,2020-11-27T16:46:43Z,after,732267627
2020-11-27T16:21:06Z,2020-11-27T16:22:19Z,after,732267627
2020-11-27T16:15:30Z,2020-11-27T16:15:30Z,after,732267627
2020-11-27T14:06:49Z,2020-11-27T14:06:49Z,after,732267627
2020-11-27T13:07:14Z,2020-11-27T13:07:45Z,after,732267627
2020-11-27T04:41:09Z,2020-11-27T04:41:09Z,after,732267627
2020-11-27T03:40:24Z,2020-11-27T03:40:24Z,after,732267627
2020-11-27T03:31:37Z,2020-11-27T03:31:37Z,after,732267627
2020-11-27T00:20:38Z,2020-11-27T00:20:38Z,after,732267627
2020-11-27T00:11:16Z,2020-11-27T00:11:16Z,after,732267627
2020-11-26T23:10:01Z,2020-11-26T23:10:01Z,after,732267627
2020-11-26T22:41:17Z,2020-11-26T22:41:17Z,after,732267627
2020-11-26T21:30:59Z,2020-11-26T21:30:59Z,after,732267627
2020-11-26T21:28:36Z,2020-11-26T21:28:36Z,after,732267627
2020-11-26T21:28:14Z,2020-11-26T21:28:14Z,after,732267627
2020-11-26T21:08:05Z,2020-11-26T21:08:05Z,after,732267627
2020-11-26T20:54:42Z,2020-11-26T20:54:42Z,after,732267627
2020-11-26T20:39:14Z,2020-11-26T20:53:03Z,after,732267627
2020-11-26T20:26:20Z,2020-11-26T20:52:59Z,after,732267627
2020-11-26T19:57:46Z,2020-11-26T19:57:46Z,after,732267627
2020-11-26T19:57:30Z,2020-11-26T19:57:30Z,after,732267627
2020-11-26T19:07:25Z,2020-11-26T19:07:25Z,after,732267627
2020-11-26T17:32:42Z,2020-11-26T17:32:47Z,after,732267627
2020-11-26T17:18:36Z,2020-11-26T17:25:31Z,after,732267627
2020-11-26T17:16:46Z,2020-11-26T17:18:51Z,after,732267627
